site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-03343170,"DRAINAGE DITCH AT DEVONSHIRE DR AT CHAMPAIGN, IL",40.0897222,-88.2522222,0.65,,,embarrass-station.xlsx
USGS-03343200,"EMBARRAS RIVER TRIBUTARY AT CHAMPAIGN, IL",40.0858333,-88.2433333,,,,embarrass-station.xlsx
USGS-03343350,"BLACK SLOUGH AT CR 500N NR PHILO, IL",39.9526111,-88.1692222,,,,embarrass-station.xlsx
USGS-03343375,"EMBARRAS RIVER AT VILLA GROVE, IL",39.86503238,-88.1583763,164.0,,,embarrass-station.xlsx
USGS-03343395,"EMBARRAS RIVER AT CAMARGO, IL",39.7997548,-88.1703207,180.0,,,embarrass-station.xlsx
USGS-03343400,"EMBARRAS RIVER NEAR CAMARGO, IL",39.79163889,-88.1857778,186.0,,,embarrass-station.xlsx
USGS-03343420,"EMBARRAS RIVER NEAR HUGO, IL",39.7530884,-88.1708758,192.0,,,embarrass-station.xlsx
USGS-03343440,"EMBARRAS RIVER AT HUGO, IL",39.75253306,-88.1469858,305.0,,,embarrass-station.xlsx
USGS-03343450,"BRUSHY FORK AT HUME, IL",39.80916667,-87.8672222,,,,embarrass-station.xlsx
USGS-03343455,"BRUSHY FORK NEAR NEWMAN, IL",39.78531217,-87.9978125,108.0,,,embarrass-station.xlsx
USGS-03343460,"BRUSHY FORK AT BRUSHY FORK, IL",39.73725606,-88.06948229,125.0,,,embarrass-station.xlsx
USGS-03343470,"BRUSHY FORK TRIBUTARY AT BRUSHY FORK, IL",39.73947814,-88.0842052,19.5,,,embarrass-station.xlsx
USGS-03343490,"EMBARRAS RIVER NEAR HINDSBORO, IL",39.6967008,-88.0586484,514.0,,,embarrass-station.xlsx
USGS-03343500,"EMBARRAS RIVER NEAR OAKLAND, IL",39.68058994,-88.0403143,518.0,,,embarrass-station.xlsx
USGS-03343550,"EMBARRAS RIVER AT STATE HWY 133 NR OAKLAND, IL",39.65920099,-88.0633708,542.0,,,embarrass-station.xlsx
USGS-03343600,"DRAINAGE DITCH NO 7 NEAR REDMON, IL",39.6255903,-87.7944734,5.63,,,embarrass-station.xlsx
USGS-03343620,"HICKORY GROVE CREEK AT REDMON, IL",39.64336815,-87.8814203,21.7,,,embarrass-station.xlsx
USGS-03343650,"LITTLE EMBARRAS RIVER NEAR BORTON, IL",39.68059029,-87.9378108,63.3,,,embarrass-station.xlsx
USGS-03343700,"EMBARRAS RIVER NEAR ASHMORE, IL",39.55475697,-88.0894828,720.0,,,embarrass-station.xlsx
USGS-03343705,"EMBARRAS RIVER AT BARNEY FORD NR CHARLESTON, IL",39.5522569,-88.1014276,724.0,,,embarrass-station.xlsx
USGS-03343710,"EMBARRAS RIVER ABOVE CHARLESTON, IL",39.5283681,-88.1130946,727.0,,,embarrass-station.xlsx
USGS-03343725,"POLECAT CREEK NEAR CHARLESTON, IL",39.5042017,-88.0900382,29.5,,,embarrass-station.xlsx
