site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-03343395,1978-09-27,22.05,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03343395,1978-10-25,12.9,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03343395,1978-11-29,27.0,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03343395,1979-01-31,31.0,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-02-08,23.85,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-04-03,25.15,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-05-02,19.6,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-05-24,27.5,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-07-03,25.1,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-07-19,23.85,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-08-01,19.05,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-09-12,11.65,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-10-10,12.85,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-11-14,10.4,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1978-12-27,23.85,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-01-18,27.5,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-02-14,23.85,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-03-13,27.5,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-04-05,28.5,mg/l,62855,Total Nitrogen,4,embarrass.xlsx
USGS-03344000,1979-05-15,25.7,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-06-14,20.85,mg/l,62855,Total Nitrogen,4,embarrass.xlsx
USGS-03344000,1979-07-11,11.05,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-08-09,18.35,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-09-12,11.05,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-10-10,6.7,mg/l,62855,Total Nitrogen,4,embarrass.xlsx
USGS-03344000,1979-11-13,11.6,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1979-12-17,17.75,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-01-21,17.8,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-02-26,26.4,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-04-01,30.5,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-05-01,27.225,mg/l,62855,Total Nitrogen,4,embarrass.xlsx
USGS-03344000,1980-05-28,29.5,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-06-23,23.95,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
USGS-03344000,1980-07-22,4.35,mg/l,62855,Total Nitrogen,2,embarrass.xlsx
