site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-03343395,1984-03-14,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-04-09,0.05500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-04-30,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-06-07,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-07-17,0.07500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-08-28,0.17,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-10-22,0.13,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1984-11-27,0.12,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-01-07,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-02-14,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-03-21,0.045,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-05-09,0.03,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-06-06,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-07-23,0.12,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-08-29,0.085,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-10-23,0.5449999999999999,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1985-12-09,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-02-03,0.025,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-03-04,0.035,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-03-27,0.02,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-04-29,0.05,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-06-11,0.12,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-07-10,0.11000000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-09-03,0.15,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-10-02,0.22,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1986-11-19,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-01-12,0.02,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-02-11,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-03-26,0.01,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-05-04,0.03,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-06-16,0.085,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-08-04,0.175,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-09-03,0.16,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-10-14,0.48450000000000004,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1987-11-16,0.23,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1988-01-06,0.045,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1988-02-17,0.05,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
