site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-03343395,1978-09-27,67.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1978-10-25,39.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1978-11-29,5.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-01-31,107.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-02-14,5.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-03-13,22.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-04-17,60.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-05-03,168.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-06-06,156.0,mg/l,00530,Total Suspended Solids,2,embarrass.xlsx
USGS-03343395,1979-07-11,50.0,mg/l,00530,Total Suspended Solids,2,embarrass.xlsx
USGS-03343395,1979-08-09,83.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-09-12,25.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-10-10,13.0,mg/l,00530,Total Suspended Solids,2,embarrass.xlsx
USGS-03343395,1979-11-20,8.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1979-12-17,4.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-01-21,0.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-02-28,30.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-04-01,19.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-05-01,40.0,mg/l,00530,Total Suspended Solids,2,embarrass.xlsx
USGS-03343395,1980-05-21,42.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-06-23,70.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-07-22,130.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-08-19,110.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-09-18,38.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-10-07,18.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-10-30,8.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-12-03,6.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1980-12-29,3.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-02-19,23.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-03-17,7.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-03-31,33.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-05-07,52.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-06-19,172.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-08-06,161.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-08-17,46.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-09-09,43.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-10-19,20.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1981-11-12,43.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-01-27,3.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-03-30,36.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-04-25,41.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-06-15,120.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-08-02,42.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-09-01,250.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-11-09,30.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1982-12-08,15.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-01-25,11.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-03-08,57.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-04-05,34.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-05-10,82.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-06-22,100.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-09-07,34.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-10-06,92.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1983-11-30,9.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-01-09,8.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-03-14,8.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-04-09,18.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-04-30,76.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-06-07,106.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-07-17,60.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-08-28,60.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1984-10-22,47.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-01-07,12.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-02-14,6.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-03-21,47.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-05-09,32.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-06-06,54.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
USGS-03343395,1985-07-23,39.0,mg/l,00530,Total Suspended Solids,1,embarrass.xlsx
