site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-05446700,"ILL & MISS CANAL NEAR SHEFFIELD, IL",41.40031325,-89.7331559,,,,greenriver-station.xlsx
USGS-05446740,"ILL & MISS FEEDER CANAL NEAR MINERAL, IL",41.4319793,-89.7901026,,,,greenriver-station.xlsx
USGS-05446750,"ILL & MISS CANAL AT LOCK 22 NEAR MINERAL, IL",41.4017019,-89.7976029,,,,greenriver-station.xlsx
USGS-05446800,"ILL & MISS CANAL AT LOCK 28 AT COLONA, IL",41.4808677,-90.348738,,,,greenriver-station.xlsx
USGS-05446950,"GREEN RIVER TRIBUTARY NEAR AMBOY, IL",41.758366,-89.3362077,0.53,,,greenriver-station.xlsx
USGS-05447000,"GREEN RIVER AT AMBOY, IL",41.70975525,-89.3245392,201.0,,,greenriver-station.xlsx
USGS-05447050,"GREEN RIVER TRIBUTARY NEAR OHIO, IL",41.6536452,-89.458708,4.95,,,greenriver-station.xlsx
USGS-05447100,"GREEN RIVER NEAR DEER GROVE, IL",41.5939222,-89.6895466,322.0,,,greenriver-station.xlsx
USGS-05447200,"NORMANDY DITCH AT NORMANDY, IL",41.56392284,-89.6556558,5.23,,,greenriver-station.xlsx
USGS-05447350,"MUD CREEK TRIBUTARY NEAR ATKINSON, IL",41.34503559,-90.0440021,1.22,,,greenriver-station.xlsx
USGS-05447370,"MUD CREEK AT ANNAWAN, IL",41.40114607,-89.9203858,80.5,,,greenriver-station.xlsx
USGS-05447390,"COAL CREEK AT SHEFFIELD, IL",41.361147,-89.74537839,25.3,,,greenriver-station.xlsx
USGS-05447391,"COAL CREEK NEAR MINERAL, IL",41.3869799,-89.7981584,27.4,,,greenriver-station.xlsx
USGS-05447392,"LAWSON CREEK TRIB NO 1 NEAR NEPONSET, IL",41.34003609,-89.7926025,,,,greenriver-station.xlsx
USGS-05447393,"LAWSON CREEK TRIB NO 2 (PLOT A) NR NEPONSET, IL",41.338925,-89.7912136,,,,greenriver-station.xlsx
USGS-05447394,LAWSON CREEK TRIB NO 2 (PLOT B) NEAR NEPONSET IL,41.338925,-89.7914914,,,,greenriver-station.xlsx
USGS-05447395,"LAWSON CREEK TRIB NO 2 NEAR NEPONSET, IL",41.34003609,-89.7923247,,,,greenriver-station.xlsx
USGS-05447396,"LAWSON CREEK TRIB NO 3 NEAR NEPONSET, IL",41.3378139,-89.790658,0.01,,,greenriver-station.xlsx
USGS-05447397,"LAWSON CREEK TRIB NO 4 (PLOT C) NR NEPONSET, IL",41.3333695,-89.79065799,,,,greenriver-station.xlsx
USGS-05447398,"LAWSON CREEK TRIB NO 4 (PLOT D) NR NEPONSET, IL",41.33309174,-89.7903802,,,,greenriver-station.xlsx
USGS-05447399,"LAWSON CREEK TRIB NO 4 NEAR NEPONSET, IL",41.33281397,-89.7898246,,,,greenriver-station.xlsx
USGS-05447400,"KING CREEK AT MINERAL, IL",41.3833687,-89.8428825,17.6,,,greenriver-station.xlsx
USGS-05447430,"MUD CREEK NEAR ANNAWAN, IL",41.4369788,-89.953165,240.0,,,greenriver-station.xlsx
USGS-05447500,"GREEN RIVER NEAR GENESEO, IL",41.4889333,-90.1580083,1003.0,,,greenriver-station.xlsx
USGS-05447550,"GENESEO CREEK AT GENESEO, IL",41.4567012,-90.1681744,23.9,,,greenriver-station.xlsx
USGS-05447600,"GREEN RIVER AT STATE HWY 84 AT GREEN ROCK, IL",41.46420117,-90.3567938,1108.0,,,greenriver-station.xlsx
USGS-412006089472601,SHEFFIELD SE FLUME 1,41.33503616,-89.790658,,,,greenriver-station.xlsx
USGS-412018089471602,SHEFFIELD SE STREAM 1,41.33836946,-89.7878801,,,,greenriver-station.xlsx
USGS-412911089540101,"GREEN RIVER NEAR HOOPPOLE, IL",41.48638889,-89.9002778,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0100601,Green R,41.69805,-89.34578,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0100901,Geneseo Cr,41.4244,-90.2019,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0100902,Geneseo Cr,41.4603,-90.1672,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0101101,Spring Cr,41.45724,-90.06058,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0101501,King Cr,41.35024,-89.86866,,,,greenriver-station.xlsx
USGS-ILRIVERWATCH-R0119301,Giant Goose Trib,41.41338,-89.97704,,,,greenriver-station.xlsx
USGS-IL_EPA-DQZA-01,HENNEPIN FEEDR CANL,41.5694444,-89.7675,,,,greenriver-station.xlsx
USGS-IL_EPA-DQZA-03,HENNEPIN FEEDR CANL,41.4383333,-89.79,,,,greenriver-station.xlsx
USGS-IL_EPA-PB-01,GREEN RIVER,41.4641,-90.35759,,,,greenriver-station.xlsx
USGS-IL_EPA-PB-02,GREEN RIVER,41.59464,-89.68918,,,,greenriver-station.xlsx
