site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-05447100,1987-10-13,8.6,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-03-05,9.25,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-03-31,11.375,mg/l,62855,Total Nitrogen,4,greenriver.xlsx
USGS-05447500,1980-04-21,16.55,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-05-19,9.8,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-06-16,17.2,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-07-07,9.85,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-08-18,14.15,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-09-16,12.85,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-10-21,10.4,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-11-25,6.75,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1980-12-10,20.85,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-01-21,6.75,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-02-10,7.95,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-03-10,14.15,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-04-28,25.15,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-07-16,9.85,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-07-28,11.0,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-08-18,15.95,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
USGS-05447500,1981-09-22,7.4,mg/l,62855,Total Nitrogen,2,greenriver.xlsx
