site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-05447100,1977-12-29,0.0,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1978-01-18,0.01,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1978-03-13,0.18,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1978-04-05,0.09,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1978-05-03,0.08,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1983-05-19,0.045000000000000005,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1983-07-06,0.11000000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-02-02,0.02,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-03-05,0.03,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-04-10,0.025,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-05-15,0.030000000000000002,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-06-19,0.10500000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-07-17,0.045,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-08-28,0.05,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-10-04,0.025,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1984-11-14,0.04,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-01-23,0.025,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-03-14,0.060000000000000005,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-04-23,0.045,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-05-14,0.03,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-06-17,0.05,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-07-22,0.06,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-08-29,0.045,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-10-08,0.04,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-11-08,0.065,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1985-12-17,0.035,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-02-04,1.125,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-04-08,0.035,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-05-14,0.12000000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-06-09,0.05500000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-07-09,0.733,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-09-24,0.0455,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-10-07,0.0805,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1986-11-19,0.031,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-01-12,0.031,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-02-24,0.018,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-03-24,0.019,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-06-05,0.10850000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-07-13,0.048,mg/l as P,00665,Total Phosphorus,1,greenriver.xlsx
USGS-05447100,1987-08-10,0.035,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-09-22,0.045,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-10-13,0.0725,mg/l as P,00665,Total Phosphorus,4,greenriver.xlsx
USGS-05447100,1987-11-03,0.1,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1987-12-08,0.09000000000000001,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-01-20,0.65,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-03-15,0.060000000000000005,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-04-20,0.055,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-07-07,0.035,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-08-17,0.055,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-09-21,0.035,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-10-19,0.03,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1988-11-23,0.025,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1989-01-11,0.065,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
USGS-05447100,1989-02-22,0.01,mg/l as P,00665,Total Phosphorus,2,greenriver.xlsx
