site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-05447100,1977-10-05,32.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1977-10-26,130.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1977-11-21,6.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1977-12-29,5.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-01-18,4.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-03-13,13.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-04-05,11.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-05-03,12.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-06-14,21.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-07-10,58.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-08-02,40.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-08-30,33.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-09-20,160.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-10-18,6.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-11-13,1.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1978-12-04,2.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-02-20,1.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-03-14,270.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-04-09,36.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-05-02,44.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-05-30,14.5,mg/l,00530,Total Suspended Solids,2,greenriver.xlsx
USGS-05447100,1979-06-20,300.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-07-18,24.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-08-22,13.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-09-05,17.0,mg/l,00530,Total Suspended Solids,2,greenriver.xlsx
USGS-05447100,1979-10-03,1.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-11-05,4.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1979-12-05,12.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-01-07,15.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-01-21,5.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-02-06,4.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-03-17,340.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-04-07,59.5,mg/l,00530,Total Suspended Solids,2,greenriver.xlsx
USGS-05447100,1980-05-05,36.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-06-16,85.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-07-07,46.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-08-15,300.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-09-09,41.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-10-07,13.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-11-25,2.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1980-12-11,22.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-01-22,13.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-02-26,63.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-03-10,39.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-04-09,17.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-06-23,70.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-07-21,18.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-08-06,660.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1981-11-05,21.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-01-27,9.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-04-28,28.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-05-25,37.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-07-13,680.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-09-28,18.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1982-11-09,9.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-01-12,11.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-03-10,24.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-04-20,38.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-05-19,87.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-07-06,120.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
USGS-05447100,1983-11-22,39.0,mg/l,00530,Total Suspended Solids,1,greenriver.xlsx
