site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-05469800,"South Skunk River near Ellsworth, IA",42.31053738,-93.58965849,54.9,,,south-station.xlsx
USGS-05469850,"Mud Lake Drainage Ditch 71 near Jewell, IA",42.3249804,-93.6510494,64.1,,,south-station.xlsx
USGS-05469860,"Mud Lake Drainage Ditch 71 at Jewell, IA",42.31442529,-93.639938,65.4,,,south-station.xlsx
USGS-05469950,"South Skunk River at Randall, IA",42.23831675,-93.5857704,160.0,,,south-station.xlsx
USGS-05469970,"Long Dick Creek near Ellsworth, IA",42.31026057,-93.5352121,6.08,,,south-station.xlsx
USGS-05469975,"Long Dick Creek near Randall, IA",42.20998496,-93.5160459,,,,south-station.xlsx
USGS-05469980,"South Skunk River near Story City, IA",42.1372073,-93.5674373,222.0,,,south-station.xlsx
USGS-05469990,"Keigley Branch near Story City, IA",42.15026194,-93.6204947,31.0,,,south-station.xlsx
USGS-05469992,"Keigley Branch near Gilbert, IA",42.1066521,-93.5749379,46.5,,,south-station.xlsx
USGS-05469995,"South Skunk River above Ames, IA",42.09081885,-93.5854939,,,,south-station.xlsx
USGS-05470000,"South Skunk River near Ames, IA",42.0665833,-93.62025,315.0,,,south-station.xlsx
USGS-05470190,"South Skunk River East of Ames, IA",42.02276415,-93.5960505,329.0,,,south-station.xlsx
USGS-05470200,"Ioway Creek near Stanhope, IA",42.20942499,-93.7855002,62.6,,,south-station.xlsx
USGS-05470500,"Ioway Creek at Ames, IA",42.02255556,-93.6305,204.0,,,south-station.xlsx
USGS-05470600,"Worrell Creek at Ames, IA",42.00831949,-93.6393856,15.3,,,south-station.xlsx
USGS-05470800,"Ioway Creek South of Ames, IA",42.01359747,-93.6104956,225.0,,,south-station.xlsx
USGS-05471000,"South Skunk River below Ioway Creek near Ames, IA",42.0082222,-93.5959722,556.0,,,south-station.xlsx
USGS-05471004,"South Skunk River Southeast of Ames, IA",41.9866535,-93.5871615,,,,south-station.xlsx
USGS-05471006,"South Skunk River near Shipley, IA",41.9730425,-93.5793834,,,,south-station.xlsx
USGS-05471007,"Drainage Ditch 13 near Ames, IA",42.00109805,-93.5704942,6.18,,,south-station.xlsx
USGS-05471008,"South Skunk River near Cambridge, IA",41.95054285,-93.551049,,,,south-station.xlsx
USGS-05471009,"Walnut Creek at 510th Avenue at Ames, IA",41.97575,-93.6813056,2.5,,,south-station.xlsx
USGS-05471010,"South Branch Ditch of Walnut Creek at Kelley, IA",41.96498616,-93.6793872,1.41,,,south-station.xlsx
USGS-0547101001,"Tile Line at S Branch of Walnut Cr at Kelley, IA",41.96498616,-93.6793872,1.41,,,south-station.xlsx
USGS-05471012,"Walnut Creek at Kelley, IA",41.954431,-93.6391079,9.85,,,south-station.xlsx
USGS-05471013,"Walnut Creek near Kelley, IA",41.9535978,-93.6246629,14.7,,,south-station.xlsx
USGS-0547101350,"Walnut Creek Tributary near Kelley, IA",41.9469313,-93.6052178,0.05,,,south-station.xlsx
USGS-05471014,"Walnut Creek near Cambridge, IA",41.93804275,-93.5704943,17.6,,,south-station.xlsx
USGS-05471020,"South Skunk River at Cambridge, IA",41.8922099,-93.5163256,615.0,,,south-station.xlsx
USGS-05471032,"Wetland Inlet Drainage Ditch 52 near Farrar, IA S1",41.7768611,-93.3958889,,,,south-station.xlsx
USGS-05471040,"Red Rock Creek near Colfax, IA",41.65915557,-93.2707616,18.4,,,south-station.xlsx
