site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-05469860,2021-05-04,2.04,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05469980,1997-08-18,3.1500000000000004,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05469980,1998-05-21,15.0,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05470500,2009-09-21,0.61,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471000,2012-08-20,0.34,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-03-04,3.8,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-03-11,5.6375,mg/l,62855,Total Nitrogen,4,south.xlsx
USGS-05471032,2008-03-14,3.54,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-04-10,3.453333333333333,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2008-04-11,3.51,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-04-12,3.18,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-04-13,3.17,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-04-17,3.34,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2008-04-18,4.0225,mg/l,62855,Total Nitrogen,4,south.xlsx
USGS-05471032,2008-04-19,3.19,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-04-20,3.09,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-05-25,3.88,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2008-05-26,4.466666666666667,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2008-06-14,2.91,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-06-16,3.05,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-07-14,2.78,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-07-31,2.56,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-08-27,1.76,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-09-24,1.62,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2008-10-15,2.026666666666667,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2008-11-19,2.42,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-02-06,4.47,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-02-07,4.442,mg/l,62855,Total Nitrogen,5,south.xlsx
USGS-05471032,2009-02-08,4.99,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-02-09,3.27,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-02-11,2.14,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-02-27,2.77,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-03-07,5.21,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-03-08,5.1000000000000005,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2009-03-09,2.69,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-03-23,3.8,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-03-24,4.413333333333333,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2009-03-25,2.68,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-04-20,2.18,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-04-25,2.51,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-04-26,4.78,mg/l,62855,Total Nitrogen,3,south.xlsx
USGS-05471032,2009-04-27,3.25,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-04-28,2.9,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-05-21,2.57,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-05-26,4.390000000000001,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2009-05-27,3.92,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2009-05-28,3.31,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-06-07,5.08,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2009-06-08,3.31,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-06-18,4.552,mg/l,62855,Total Nitrogen,5,south.xlsx
USGS-05471032,2009-07-01,2.32,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-07-15,2.32,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-07-30,1.9,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-08-09,2.755,mg/l,62855,Total Nitrogen,4,south.xlsx
USGS-05471032,2009-08-10,2.04,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-08-26,2.61,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-08-27,2.3320000000000003,mg/l,62855,Total Nitrogen,5,south.xlsx
USGS-05471032,2009-09-16,1.56,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-10-05,1.47,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-10-21,1.6,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2009-10-22,2.624,mg/l,62855,Total Nitrogen,5,south.xlsx
USGS-05471032,2009-10-23,2.86,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2010-03-07,3.77,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2010-03-08,3.925,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2010-03-09,4.09,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2010-03-10,3.58,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2010-03-11,3.535,mg/l,62855,Total Nitrogen,2,south.xlsx
USGS-05471032,2010-03-12,3.4,mg/l,62855,Total Nitrogen,1,south.xlsx
USGS-05471032,2010-04-06,3.1933333333333334,mg/l,62855,Total Nitrogen,3,south.xlsx
